,Name,rating,Contribution,userLocation,reviewMessage,month,year
1113,Suzan R,5.0,50,"San Antonio, TX",Worth it!,Dec,2018
1114,bd4880,4.0,15,"Bellevue, Nebraska",Boston Tour,Oct,2018
1115,Denise V,5.0,144,"Dubai, United Arab Emirates",Great way to see Boston in the winter!,Dec,2018
1116,ifionlyhada,5.0,55,"West Chester, OH",Great way to get around Boston,Mar,2018
1117,Andy123101,4.0,130,"Bickington, UK",Hop on trolley tour,Nov,2018
1118,Mam1251,5.0,5,"Owatonna, MN",Would recommend to everyone if you have limited time in Boston.,Sep,2018
1119,Olegunner131pjs,5.0,85,0,Great way to see the city and learn!,Nov,2018
1120,Ron M,5.0,6,"Mayfield Heights, OH",See It All,Aug,2018
1121,CAWriterMom,5.0,47,"Sacramento, CA",Great way to see the city!,Oct,2018
1122,Terry M,4.0,9,"Orange Beach, AL",Very funny drive,Oct,2018
1123,SarahB1957,3.0,246,"Swansea, UK",Not as good as last time,Sep,2018
1124,FunPartyGal,2.0,17,"Elmwood, IL",Great tour guides but the wait is terrible,Oct,2018
1125,briandg,4.0,21,"Shrewsbury, UK",The quick way to see where everything is,Oct,2018
1126,RuJa_12,5.0,14,"Grafton, WI",Great way to see the city!,Sep,2018
1127,Gail T,5.0,7,"West Newbury, MA",I live in the area and enjoyed the tour.The Trolley is a Nice way to relax and enjoy a tour of the City.,Apr,2018
1128,jimcool,1.0,210,"Boston, MA",This is a total waste of your time and money,Sep,2018
1129,ChillyinAlaska,3.0,21,"Anchorage, AK",informative,Jul,2018
1130,Denise K,5.0,45,"Adelaide, Australia",Bus and Harbour Cruise - a Great experience,Sep,2018
1131,foodie2401,4.0,16,0,Convenient and informative,0,0
1132,Paul H,5.0,72,"Winnipeg, Canada",Easy Visit,Sep,2018
1133,Sanndy100,2.0,69,"Lexington, KY",Worst Hop-on Hop-off I've Ever Used,Aug,2018
1134,Karen H,4.0,18,"Jonesboro, Georgia, United States",Great way to see Boston without fighting the traffic,Sep,2018
1135,Natalia V,5.0,43,"Elmhurst, NY",Family weekend visit,Sep,2018
1136,Gary D,2.0,29,"Temple, TX",disappointed,Aug,2018
1137,Sue R,5.0,23,"Pakenham, Australia",A great day,0,0
1138,Tt T,5.0,12,New York,day trip shopping,Sep,2018
1139,Angelo M,5.0,169,"Lombardy, Italy",Great!,Aug,2018
1140,Liltexann,5.0,8,"Henderson, NV",Great way to see Boston in a short amount of time!,Jul,2018
1141,kimhines,5.0,53,"Wake Forest, NC",Best way to see the city!,Aug,2018
1142,barbara d,4.0,50,Hamilton Ontario,Enjoyable way to see the city!,Aug,2018
1143,IANPOL,4.0,13,"Glasgow, UK",EASY WAY TO SEE THE CITY IN A SHORT TIME,May,2018
1144,jjm1000,4.0,84,Cork,Interesting and useful,Aug,2018
1145,Paula B,5.0,7,"Orlando, FL",Wonderful drivers and many stops,Aug,2018
1146,Lucy K,3.0,4,Thunder Bay,A great way to get around and learn some of the history of Boston,Aug,2018
1147,rkpta,4.0,46,"Grand Rapids, MI",Worthwhile,Aug,2018
1148,Librarianista11,4.0,55,"Temecula, CA",Great trip around town,Sep,2017
1149,Tim G,4.0,21,"Toledo, OH",Entertaining and convenient,Jul,2018
1150,7333LakesidePark,4.0,100,"Remer, MN",See Boston quickly - follow up with a more detailed visit,Jul,2018
1151,Bruce S,3.0,33,"Richmond, Canada",Enjoyable but overpriced,Jul,2018
1152,Barbara F,3.0,22,"Marinette, WI",Just OK,Jul,2018
1153,lynmarwy,5.0,28,"Pine Island, MN",Easy way to see the city,Jul,2018
1154,Amanda M,4.0,4,"Plano, TX",Hop on Hop Hoff,Jun,2018
1155,JuJuB45,3.0,61,Florida,Filled with interesting Boston facts,Jul,2018
1156,angusnh,5.0,77,N.H.,"The best way for tourists and perhaps some locals, to see Boston.",Oct,2017
1157,Dale R,4.0,279,"Denver, CO",GREAT TIME,Jun,2018
1158,eileenk366,5.0,8,United States,"Best Way to Learn the ""Lay of the Land""",Jun,2018
1159,Mary B,5.0,21,"Boise, ID",Boston Tour,Jun,2018
1160,emmak8,5.0,129,NY,Great way to see Boston,Oct,2017
1161,Patti L,5.0,166,"Mechanicville, NY",Fun way to see the city,Mar,2018
1162,Laura G,5.0,31,"Pell City, AL",Start your vacation off with this Must Do!,May,2018
1163,Mandy R,4.0,60,"Park Rapids, MN",Mixed experience,May,2018
1164,Carmen6868,4.0,220,"Atlanta, GA",Great Way to familiarize yourself,May,2018
1165,DonaldYokum,5.0,742,"Ventura, CA",Good coverage of Boston,Apr,2018
1166,Josie T,3.0,32,0,Depends on driver,May,2018
1167,Brettkort1,5.0,617,"Appleton, WI",Great Tour of Boston!,Apr,2018
1168,xocy0135,5.0,10,"Atlanta, GA",Good Transportation and Fun,Nov,2017
1169,stlbluesfan2017,4.0,38,"Maryville, IL",Quick in town visit,Sep,2017
